torch-version,cuda-version,cudnn-version,model-arch,optimize,batch-size,resolution-h,resolution-w,pixels,iterations,inference-mode,no-grad,cudnn-benchmark,autocast-dtype,model-cast-dtype,channels-last,pessimization,jit-script,eval,compile,compile-mode,set-to-none,mem-ckpt,bnb,model-params,first-batch (ms),throughput (it/s),peak-memory (GB),delta-memory (GB),stage
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,109514298,656.65,24.58,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,109514298,656.65,24.58,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,109514298,656.65,24.58,8.49,8.081,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,109514298,656.65,24.58,2.18,-6.3100000000000005,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.11$,False,109514298,664.54,23.95,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.11$,False,109514298,664.54,23.95,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.11$,False,109514298,664.54,23.95,8.097,7.688,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.11$,False,109514298,664.54,23.95,2.181,-5.9159999999999995,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.10$,False,109514298,672.67,23.91,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.10$,False,109514298,672.67,23.91,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.10$,False,109514298,672.67,23.91,8.097,7.688,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.10$,False,109514298,672.67,23.91,2.181,-5.9159999999999995,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.9$,False,109514298,662.03,23.89,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.9$,False,109514298,662.03,23.89,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.9$,False,109514298,662.03,23.89,8.098,7.689000000000001,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.9$,False,109514298,662.03,23.89,2.181,-5.917000000000001,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.8$,False,109514298,659.74,23.9,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.8$,False,109514298,659.74,23.9,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.8$,False,109514298,659.74,23.9,8.099,7.69,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.8$,False,109514298,659.74,23.9,2.183,-5.916,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.7$,False,109514298,690.21,23.89,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.7$,False,109514298,690.21,23.89,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.7$,False,109514298,690.21,23.89,8.099,7.69,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.7$,False,109514298,690.21,23.89,2.183,-5.916,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.6$,False,109514298,665.28,23.89,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.6$,False,109514298,665.28,23.89,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.6$,False,109514298,665.28,23.89,8.099,7.69,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.6$,False,109514298,665.28,23.89,2.183,-5.916,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.\d+$,False,109514298,738.63,19.06,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.\d+$,False,109514298,738.63,19.06,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.\d+$,False,109514298,738.63,19.06,3.728,3.3190000000000004,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,100,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.\d+$,False,109514298,738.63,19.06,2.13,-1.5980000000000003,post-main-loop
