torch-version,cuda-version,cudnn-version,model-arch,optimize,batch-size,resolution-h,resolution-w,pixels,iterations,inference-mode,no-grad,cudnn-benchmark,autocast-dtype,model-cast-dtype,channels-last,pessimization,jit-script,eval,compile,compile-mode,set-to-none,mem-ckpt,bnb,model-params,first-batch (ms),throughput (it/s),peak-memory (GB),delta-memory (GB),stage
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,109514298,707.47,24.67,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,109514298,707.47,24.67,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,109514298,707.47,24.67,8.49,8.081,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,109514298,707.47,24.67,2.18,-6.3100000000000005,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.0$,False,109514298,680.14,24.14,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.0$,False,109514298,680.14,24.14,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.0$,False,109514298,680.14,24.14,8.098,7.689000000000001,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.0$,False,109514298,680.14,24.14,2.181,-5.917000000000001,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.11$,False,109514298,751.86,24.16,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.11$,False,109514298,751.86,24.16,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.11$,False,109514298,751.86,24.16,8.097,7.688,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.11$,False,109514298,751.86,24.16,2.181,-5.9159999999999995,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.(0|1)$,False,109514298,672.82,23.6,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.(0|1)$,False,109514298,672.82,23.6,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.(0|1)$,False,109514298,672.82,23.6,7.703,7.2940000000000005,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.(0|1)$,False,109514298,672.82,23.6,2.179,-5.524000000000001,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.(0|1|2)$,False,109514298,666.53,23.07,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.(0|1|2)$,False,109514298,666.53,23.07,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.(0|1|2)$,False,109514298,666.53,23.07,7.307,6.898000000000001,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.(0|1|2)$,False,109514298,666.53,23.07,2.175,-5.132000000000001,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.\d+$,False,109514298,770.82,19.3,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.\d+$,False,109514298,770.82,19.3,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.\d+$,False,109514298,770.82,19.3,3.728,3.3190000000000004,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,8,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,.*layer\.\d+$,False,109514298,770.82,19.3,2.13,-1.5980000000000003,post-main-loop
