torch-version,cuda-version,cudnn-version,model-arch,optimize,batch-size,resolution-h,resolution-w,pixels,iterations,inference-mode,no-grad,cudnn-benchmark,autocast-dtype,model-cast-dtype,channels-last,pessimization,jit-script,eval,compile,compile-mode,set-to-none,mem-ckpt,bnb,model-params,first-batch (ms),throughput (it/s),peak-memory (GB),delta-memory (GB),stage
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,60192808,502,102,0.023,0.023,inputs-created
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,60192808,502,102,0.248,0.225,model-ready
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,60192808,502,102,8.083,7.835,peak-main-loop
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,60192808,502,102,0.942,-7.141,post-main-loop
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,layer1,False,60192808,507,97,0.023,0.023,inputs-created
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,layer1,False,60192808,507,97,0.248,0.225,model-ready
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,layer1,False,60192808,507,97,6.958,6.71,peak-main-loop
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,layer1,False,60192808,507,97,0.942,-6.016,post-main-loop
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,layer2,False,60192808,498,94,0.023,0.023,inputs-created
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,layer2,False,60192808,498,94,0.248,0.225,model-ready
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,layer2,False,60192808,498,94,6.489,6.241,peak-main-loop
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,layer2,False,60192808,498,94,0.942,-5.547,post-main-loop
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,layer3,False,60192808,537,84,0.023,0.023,inputs-created
2.1.0,12.1,8.900,resnet152,True,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,layer3,False,60192808,537,84,0.248,0.225,model-ready
