torch-version,cuda-version,cudnn-version,model-arch,optimize,optimizer,batch-size,resolution-h,resolution-w,pixels,iterations,inference-mode,no-grad,cudnn-benchmark,autocast-dtype,model-cast-dtype,channels-last,pessimization,jit-script,eval,compile,compile-mode,set-to-none,mem-ckpt,bnb,paged,model-params,first-batch (ms),throughput (it/s),peak-memory (GB),delta-memory (GB),stage
2.1.0,12.1,8.900,bert-base-uncased,True,Adam,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,True,False,109514298,496.44,55.74,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,Adam,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,True,False,109514298,496.44,55.74,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,Adam,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,True,False,109514298,496.44,55.74,6.194,5.785,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,Adam,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,True,False,109514298,496.44,55.74,1.528,-4.666,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,Adam,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,True,True,109514298,587.23,55.12,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,Adam,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,True,True,109514298,587.23,55.12,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,Adam,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,True,True,109514298,587.23,55.12,5.987,5.578,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,Adam,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,True,True,109514298,587.23,55.12,1.321,-4.666,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,Lion,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,True,False,109514298,476.03,56.33,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,Lion,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,True,False,109514298,476.03,56.33,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,Lion,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,True,False,109514298,476.03,56.33,6.088,5.679,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,Lion,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,True,False,109514298,476.03,56.33,1.423,-4.665,post-main-loop
