torch-version,cuda-version,cudnn-version,model-arch,optimize,batch-size,resolution-h,resolution-w,pixels,iterations,inference-mode,no-grad,cudnn-benchmark,autocast-dtype,channels-last,pessimization,jit-script,eval,compile,compile-mode,set-to-none,bnb,model-params,first-batch (ms),throughput (it/s),peak-memory (GB),model-flops-total,model-flops-addmm,model-flops-conv,model-flops-batch_norm,model-flops-layer_norm,model-flops-linear,model-flops-matmul,model-flops-adaptive_avg_pool2d,container-src
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,True,False,True,float32,False,False,False,True,False,None,False,False,109514298,676,108,0.835,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,True,False,True,float32,False,False,False,False,False,None,False,False,109514298,683,105,0.835,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,True,False,True,float16,False,False,False,True,False,None,False,False,109514298,290,311,0.854,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,True,False,True,float16,False,False,False,False,False,None,False,False,109514298,285,296,0.854,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,True,False,False,float32,False,False,False,True,False,None,False,False,109514298,668,106,0.835,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,True,False,False,float32,False,False,False,False,False,None,False,False,109514298,691,103,0.835,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,True,False,False,float16,False,False,False,True,False,None,False,False,109514298,271,307,0.854,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,True,False,False,float16,False,False,False,False,False,None,False,False,109514298,303,292,0.854,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,False,False,True,float32,False,False,False,True,False,None,False,False,109514298,680,105,0.835,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,False,False,True,float32,False,False,False,False,False,None,False,False,109514298,674,102,0.835,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,False,False,True,float16,False,False,False,True,False,None,False,False,109514298,292,293,0.854,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,False,False,True,float16,False,False,False,False,False,None,False,False,109514298,307,280,0.854,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,False,False,False,float32,False,False,False,True,False,None,False,False,109514298,677,104,0.835,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,False,False,False,float32,False,False,False,False,False,None,False,False,109514298,683,102,0.835,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,False,False,False,float16,False,False,False,True,False,None,False,False,109514298,280,292,0.854,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-base-uncased,False,64,256,256,65536,25,False,False,False,float16,False,False,False,False,False,None,False,False,109514298,292,277,0.854,3039486148608,0,0,0,2773155840,3026622283776,10090708992,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,True,False,True,float32,False,False,False,True,False,None,False,False,335174458,1832,35,1.679,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,True,False,True,float32,False,False,False,False,False,None,False,False,335174458,1888,34,1.68,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,True,False,True,float16,False,False,False,True,False,None,False,False,335174458,575,126,2.099,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,True,False,True,float16,False,False,False,False,False,None,False,False,335174458,590,121,2.099,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,True,False,False,float32,False,False,False,True,False,None,False,False,335174458,1858,35,1.679,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,True,False,False,float32,False,False,False,False,False,None,False,False,335174458,1885,34,1.68,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,True,False,False,float16,False,False,False,True,False,None,False,False,335174458,566,125,2.099,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,True,False,False,float16,False,False,False,False,False,None,False,False,335174458,595,121,2.099,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,False,False,True,float32,False,False,False,True,False,None,False,False,335174458,1837,35,1.679,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,False,False,True,float32,False,False,False,False,False,None,False,False,335174458,1887,34,1.68,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,False,False,True,float16,False,False,False,True,False,None,False,False,335174458,586,124,2.099,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,False,False,True,float16,False,False,False,False,False,None,False,False,335174458,600,118,2.099,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,False,False,False,float32,False,False,False,True,False,None,False,False,335174458,1857,35,1.679,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,False,False,False,float32,False,False,False,False,False,None,False,False,335174458,1891,34,1.68,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,False,False,False,float16,False,False,False,True,False,None,False,False,335174458,576,123,2.099,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,bert-large-uncased,False,64,256,256,65536,25,False,False,False,float16,False,False,False,False,False,None,False,False,335174458,606,118,2.099,9319341359104,0,0,0,7110656000,9285322145792,26908557312,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,True,False,True,float32,False,False,False,True,False,None,False,False,81912576,244,379,0.911,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,True,False,True,float32,False,False,False,False,False,None,False,False,81912576,247,361,0.911,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,True,False,True,float16,False,False,False,True,False,None,False,False,81912576,202,553,0.769,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,True,False,True,float16,False,False,False,False,False,None,False,False,81912576,199,519,0.769,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,True,False,False,float32,False,False,False,True,False,None,False,False,81912576,235,382,0.911,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,True,False,False,float32,False,False,False,False,False,None,False,False,81912576,252,364,0.911,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,True,False,False,float16,False,False,False,True,False,None,False,False,81912576,190,553,0.769,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,True,False,False,float16,False,False,False,False,False,None,False,False,81912576,196,523,0.769,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,False,False,True,float32,False,False,False,True,False,None,False,False,81912576,247,376,0.911,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,False,False,True,float32,False,False,False,False,False,None,False,False,81912576,260,359,0.911,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,False,False,True,float16,False,False,False,True,False,None,False,False,81912576,200,512,0.769,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,False,False,True,float16,False,False,False,False,False,None,False,False,81912576,206,488,0.769,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,False,False,False,float32,False,False,False,True,False,None,False,False,81912576,244,375,0.911,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,False,False,False,float32,False,False,False,False,False,None,False,False,81912576,260,357,0.911,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,False,False,False,float16,False,False,False,True,False,None,False,False,81912576,198,522,0.769,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,distilgpt2,False,64,256,256,65536,25,False,False,False,float16,False,False,False,False,False,None,False,False,81912576,204,490,0.769,603221262336,315277443072,0,0,370606080,286546919424,1026293760,0,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,True,float32,True,False,False,True,False,None,False,False,11689512,532,1523,0.638,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,True,float32,True,False,False,False,False,None,False,False,11689512,493,1568,0.638,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,True,float32,False,False,False,True,False,None,False,False,11689512,402,2127,0.591,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,True,float32,False,False,False,False,False,None,False,False,11689512,420,1989,0.591,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,True,float16,True,False,False,True,False,None,False,False,11689512,294,4879,0.394,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,True,float16,True,False,False,False,False,None,False,False,11689512,284,4747,0.394,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,True,float16,False,False,False,True,False,None,False,False,11689512,314,3862,0.417,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,True,float16,False,False,False,False,False,None,False,False,11689512,295,3780,0.417,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float32,True,False,False,True,False,None,False,False,11689512,118,1271,0.869,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float32,True,False,False,False,False,None,False,False,11689512,129,1334,0.869,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float32,False,False,False,True,False,None,False,False,11689512,108,2059,0.591,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float32,False,False,False,False,False,None,False,False,11689512,107,1938,0.591,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float16,True,False,False,True,False,None,False,False,11689512,119,4417,0.394,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float16,True,False,False,False,False,None,False,False,11689512,130,4330,0.394,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float16,False,False,False,True,False,None,False,False,11689512,121,3709,0.394,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float16,False,False,False,False,False,None,False,False,11689512,124,3537,0.394,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,True,float32,True,False,False,True,False,None,False,False,11689512,474,1534,3.452,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,True,float32,True,False,False,False,False,None,False,False,11689512,489,1568,3.452,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,True,float32,False,False,False,True,False,None,False,False,11689512,414,2146,3.513,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,True,float32,False,False,False,False,False,None,False,False,11689512,418,1988,3.513,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,True,float16,True,False,False,True,False,None,False,False,11689512,284,4946,1.966,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,True,float16,True,False,False,False,False,None,False,False,11689512,284,4869,1.966,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,True,float16,False,False,False,True,False,None,False,False,11689512,304,3965,1.976,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,True,float16,False,False,False,False,False,None,False,False,11689512,304,3753,1.976,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,False,float32,True,False,False,True,False,None,False,False,11689512,122,1268,4.064,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,False,float32,True,False,False,False,False,None,False,False,11689512,127,1331,4.064,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,False,float32,False,False,False,True,False,None,False,False,11689512,102,2077,3.513,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,False,float32,False,False,False,False,False,None,False,False,11689512,110,1941,3.513,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,False,float16,True,False,False,True,False,None,False,False,11689512,127,4607,1.969,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,False,float16,True,False,False,False,False,None,False,False,11689512,129,4471,1.969,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,False,float16,False,False,False,True,False,None,False,False,11689512,122,3572,1.984,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet18,False,64,256,256,65536,25,False,False,False,float16,False,False,False,False,False,None,False,False,11689512,126,3504,1.984,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,True,float32,True,False,False,True,False,None,False,False,25557032,1018,612,0.955,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,True,float32,True,False,False,False,False,None,False,False,25557032,1055,611,0.963,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,True,float32,False,False,False,True,False,None,False,False,25557032,919,690,0.955,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,True,float32,False,False,False,False,False,None,False,False,25557032,933,653,0.955,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,True,float16,True,False,False,True,False,None,False,False,25557032,450,1573,0.631,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,True,float16,True,False,False,False,False,None,False,False,25557032,441,1667,0.631,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,True,float16,False,False,False,True,False,None,False,False,25557032,563,1507,0.631,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,True,float16,False,False,False,False,False,None,False,False,25557032,551,1452,0.63,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,False,float32,True,False,False,True,False,None,False,False,25557032,184,554,1.061,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,False,float32,True,False,False,False,False,None,False,False,25557032,193,553,1.061,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,False,float32,False,False,False,True,False,None,False,False,25557032,162,694,0.955,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,False,float32,False,False,False,False,False,None,False,False,25557032,174,653,0.955,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,False,float16,True,False,False,True,False,None,False,False,25557032,150,1574,0.599,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,False,float16,True,False,False,False,False,None,False,False,25557032,154,1651,0.603,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,False,float16,False,False,False,True,False,None,False,False,25557032,161,1451,0.63,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
1.13.0,11.8,8.700,resnet50,False,64,256,256,65536,25,True,False,False,float16,False,False,False,False,False,None,False,False,25557032,162,1395,0.63,346435878912,0,341651226624,4645191680,0,131072000,0,8388608,ngc
